Scale_Factor,Model,Trials,Base_Dataset_Rows,Synthetic_Total_Rows,Training_Rows,Testing_Rows,Feature_Count,Accuracy,Precision_Churn,Recall_Churn,F1_Churn,Weighted_F1,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives,Training_Time_Run_1,Training_Time_Run_2,Training_Time_Run_3,Mean_Training_Time_Seconds,Std_Training_Time_Seconds,Prediction_Time_Run_1,Prediction_Time_Run_2,Prediction_Time_Run_3,Mean_Prediction_Time_Seconds,Std_Prediction_Time_Seconds,Mean_Training_Throughput_Rows_Per_Second,Std_Training_Throughput_Rows_Per_Second,Mean_Prediction_Throughput_Rows_Per_Second,Std_Prediction_Throughput_Rows_Per_Second
1,Logistic_Regression,3,7032,7032,5690,1342,45,0.821908,0.701639,0.59116,0.641679,0.816814,0.854916,889,91,148,214,5.183742,5.225739,4.130814,4.846765,0.620387,0.516315,0.238859,0.229099,0.328091,0.16308,1187.98,164.14,4691.76,1816.17
1,Decision_Tree,3,7032,7032,5690,1342,45,0.795082,0.688312,0.439227,0.536256,0.778867,0.747326,908,72,203,159,1.539371,1.383745,0.910167,1.277761,0.327718,0.500836,0.365332,0.276297,0.380822,0.113068,4686.65,1371.14,3736.66,1090.16
1,Random_Forest,3,7032,7032,5690,1342,45,0.817437,0.727626,0.516575,0.6042,0.806594,0.853085,910,70,175,187,4.188852,3.959401,3.998649,4.048967,0.122723,0.422997,0.403116,0.318368,0.381494,0.055565,1406.15,41.97,3572.3,562.27
1,Gradient_Boosted_Tree,3,7032,7032,5690,1342,45,0.802534,0.6633,0.544199,0.597876,0.795964,0.843443,880,100,165,197,11.206372,10.325682,10.079503,10.537186,0.59246,0.253715,0.231539,0.250467,0.24524,0.011976,541.1,29.66,5481.13,274.83
5,Logistic_Regression,3,7032,35160,28450,6710,45,0.821908,0.701639,0.59116,0.641679,0.816814,0.854916,4445,455,740,1070,6.03454,3.928804,3.557195,4.506846,1.336005,0.209736,0.226505,0.194818,0.210353,0.015853,6651.26,1719.38,32019.72,2409.31
5,Decision_Tree,3,7032,35160,28450,6710,45,0.809985,0.649025,0.643646,0.646325,0.809735,0.796988,4270,630,645,1165,1.375783,1.297792,1.389115,1.35423,0.049329,0.197356,0.200057,0.200909,0.199441,0.001855,21027.22,781.11,33645.98,314.22
5,Random_Forest,3,7032,35160,28450,6710,45,0.812966,0.712644,0.513812,0.597111,0.802388,0.853893,4525,375,880,930,8.519265,11.375577,14.75445,11.549764,3.12124,0.494474,0.790997,0.644767,0.643413,0.148266,2589.56,709.79,10819.93,2568.54
5,Gradient_Boosted_Tree,3,7032,35160,28450,6710,45,0.818182,0.703448,0.563536,0.625767,0.811364,0.85052,4470,430,790,1020,17.608555,14.799958,28.826513,20.411675,7.421534,0.560522,0.339214,0.312082,0.403939,0.136281,1508.31,476.84,17750.94,5078.9
10,Logistic_Regression,3,7032,70320,56900,13420,45,0.821908,0.701639,0.59116,0.641679,0.816814,0.854916,8890,910,1480,2140,5.035119,4.716808,4.623494,4.791807,0.215818,0.231655,0.188822,0.207934,0.20947,0.021458,11890.19,524.89,64514.31,6570.62
10,Decision_Tree,3,7032,70320,56900,13420,45,0.795082,0.688312,0.439227,0.536256,0.778867,0.74748,9080,720,2030,1590,3.288297,2.719291,2.191881,2.733156,0.548339,0.225309,0.250385,0.263499,0.246398,0.019405,21395.93,4347.03,54696.68,4420.12
