Scale_Factor,Model,Trial,Base_Dataset_Rows,Synthetic_Total_Rows,Training_Rows,Testing_Rows,Feature_Count,Training_Time_Seconds,Prediction_Time_Seconds,Training_Throughput_Rows_Per_Second,Prediction_Throughput_Rows_Per_Second
1,Logistic_Regression,1,7032,7032,5690,1342,45,5.183742,0.516315,1097.66,2599.19
1,Logistic_Regression,2,7032,7032,5690,1342,45,5.225739,0.238859,1088.84,5618.38
1,Logistic_Regression,3,7032,7032,5690,1342,45,4.130814,0.229099,1377.45,5857.72
1,Decision_Tree,1,7032,7032,5690,1342,45,1.539371,0.500836,3696.31,2679.52
1,Decision_Tree,2,7032,7032,5690,1342,45,1.383745,0.365332,4112.03,3673.38
1,Decision_Tree,3,7032,7032,5690,1342,45,0.910167,0.276297,6251.6,4857.09
1,Random_Forest,1,7032,7032,5690,1342,45,4.188852,0.422997,1358.37,3172.6
1,Random_Forest,2,7032,7032,5690,1342,45,3.959401,0.403116,1437.09,3329.07
1,Random_Forest,3,7032,7032,5690,1342,45,3.998649,0.318368,1422.98,4215.24
1,Gradient_Boosted_Tree,1,7032,7032,5690,1342,45,11.206372,0.253715,507.75,5289.41
1,Gradient_Boosted_Tree,2,7032,7032,5690,1342,45,10.325682,0.231539,551.05,5796.0
1,Gradient_Boosted_Tree,3,7032,7032,5690,1342,45,10.079503,0.250467,564.51,5357.98
5,Logistic_Regression,1,7032,35160,28450,6710,45,6.03454,0.209736,4714.53,31992.62
5,Logistic_Regression,2,7032,35160,28450,6710,45,3.928804,0.226505,7241.39,29624.07
5,Logistic_Regression,3,7032,35160,28450,6710,45,3.557195,0.194818,7997.87,34442.47
5,Decision_Tree,1,7032,35160,28450,6710,45,1.375783,0.197356,20679.13,33999.39
5,Decision_Tree,2,7032,35160,28450,6710,45,1.297792,0.200057,21921.86,33540.44
5,Decision_Tree,3,7032,35160,28450,6710,45,1.389115,0.200909,20480.66,33398.12
5,Random_Forest,1,7032,35160,28450,6710,45,8.519265,0.494474,3339.49,13569.98
5,Random_Forest,2,7032,35160,28450,6710,45,11.375577,0.790997,2500.97,8482.96
5,Random_Forest,3,7032,35160,28450,6710,45,14.75445,0.644767,1928.23,10406.86
5,Gradient_Boosted_Tree,1,7032,35160,28450,6710,45,17.608555,0.560522,1615.69,11970.99
5,Gradient_Boosted_Tree,2,7032,35160,28450,6710,45,14.799958,0.339214,1922.3,19781.05
5,Gradient_Boosted_Tree,3,7032,35160,28450,6710,45,28.826513,0.312082,986.94,21500.77
10,Logistic_Regression,1,7032,70320,56900,13420,45,5.035119,0.231655,11300.63,57931.07
10,Logistic_Regression,2,7032,70320,56900,13420,45,4.716808,0.188822,12063.24,71072.23
10,Logistic_Regression,3,7032,70320,56900,13420,45,4.623494,0.207934,12306.71,64539.62
10,Decision_Tree,1,7032,70320,56900,13420,45,3.288297,0.225309,17303.79,59562.7
10,Decision_Tree,2,7032,70320,56900,13420,45,2.719291,0.250385,20924.57,53597.42
10,Decision_Tree,3,7032,70320,56900,13420,45,2.191881,0.263499,25959.44,50929.93
10,Random_Forest,1,7032,70320,56900,13420,45,14.763437,0.652265,3854.12,20574.45
10,Random_Forest,2,7032,70320,56900,13420,45,14.046157,0.6066,4050.93,22123.3
10,Random_Forest,3,7032,70320,56900,13420,45,21.425304,0.987481,2655.74,13590.14
10,Gradient_Boosted_Tree,1,7032,70320,56900,13420,45,17.18082,0.28197,3311.83,47593.68
10,Gradient_Boosted_Tree,2,7032,70320,56900,13420,45,18.674329,0.479477,3046.96,27988.85
10,Gradient_Boosted_Tree,3,7032,70320,56900,13420,45,17.720131,0.320137,3211.04,41919.59
20,Logistic_Regression,1,7032,140640,113800,26840,45,8.286081,0.272956,13733.87,98330.9
20,Logistic_Regression,2,7032,140640,113800,26840,45,6.059706,0.240538,18779.79,111583.02
20,Logistic_Regression,3,7032,140640,113800,26840,45,5.523212,0.193844,20603.95,138461.93
20,Decision_Tree,1,7032,140640,113800,26840,45,3.153965,0.226037,36081.57,118741.88
20,Decision_Tree,2,7032,140640,113800,26840,45,3.233255,0.388098,35196.73,69157.72
20,Decision_Tree,3,7032,140640,113800,26840,45,3.206722,0.234596,35487.95,114409.45
20,Random_Forest,1,7032,140640,113800,26840,45,24.279832,0.931824,4687.02,28803.73
20,Random_Forest,2,7032,140640,113800,26840,45,18.436688,0.623898,6172.48,43019.85
20,Random_Forest,3,7032,140640,113800,26840,45,18.300225,1.031227,6218.5,26027.26
20,Gradient_Boosted_Tree,1,7032,140640,113800,26840,45,20.633734,0.385025,5515.24,69709.74
20,Gradient_Boosted_Tree,2,7032,140640,113800,26840,45,20.106706,0.35421,5659.8,75774.17
20,Gradient_Boosted_Tree,3,7032,140640,113800,26840,45,20.250613,0.343789,5619.58,78071.21
50,Logistic_Regression,1,7032,351600,284500,67100,45,9.33586,0.301072,30473.89,222869.91
50,Logistic_Regression,2,7032,351600,284500,67100,45,9.193178,0.330243,30946.86,203183.96
50,Logistic_Regression,3,7032,351600,284500,67100,45,8.071194,0.291541,35248.81,230156.62
50,Decision_Tree,1,7032,351600,284500,67100,45,6.562279,0.317667,43353.84,211227.55
50,Decision_Tree,2,7032,351600,284500,67100,45,6.872224,0.356594,41398.53,188169.18
50,Decision_Tree,3,7032,351600,284500,67100,45,7.783669,0.404952,36550.89,165698.65
50,Random_Forest,1,7032,351600,284500,67100,45,35.724459,1.046387,7963.73,64125.41
50,Random_Forest,2,7032,351600,284500,67100,45,35.124782,1.326467,8099.69,50585.49
50,Random_Forest,3,7032,351600,284500,67100,45,39.209532,1.494543,7255.89,44896.66
50,Gradient_Boosted_Tree,1,7032,351600,284500,67100,45,48.749608,0.921394,5835.94,72824.44
50,Gradient_Boosted_Tree,2,7032,351600,284500,67100,45,60.642506,0.710843,4691.43,94394.91
50,Gradient_Boosted_Tree,3,7032,351600,284500,67100,45,41.938963,0.752004,6783.67,89228.27
100,Logistic_Regression,1,7032,703200,569000,134200,45,18.655827,0.465285,30499.85,288425.56
100,Logistic_Regression,2,7032,703200,569000,134200,45,14.990758,0.531103,37956.72,252681.59
100,Logistic_Regression,3,7032,703200,569000,134200,45,15.962671,0.515411,35645.66,260374.53
100,Decision_Tree,1,7032,703200,569000,134200,45,14.414408,0.647887,39474.39,207134.95
100,Decision_Tree,2,7032,703200,569000,134200,45,15.834053,0.705553,35935.21,190205.47
100,Decision_Tree,3,7032,703200,569000,134200,45,18.208445,0.672676,31249.24,199501.63
100,Random_Forest,1,7032,703200,569000,134200,45,63.803039,2.154927,8918.07,62275.89
100,Random_Forest,2,7032,703200,569000,134200,45,90.612716,2.474389,6279.47,54235.62
100,Random_Forest,3,7032,703200,569000,134200,45,74.187194,2.111351,7669.79,63561.19
100,Gradient_Boosted_Tree,1,7032,703200,569000,134200,45,80.593067,1.463032,7060.16,91727.29
100,Gradient_Boosted_Tree,2,7032,703200,569000,134200,45,103.177476,1.235184,5514.77,108647.79
100,Gradient_Boosted_Tree,3,7032,703200,569000,134200,45,94.95854,1.748479,5992.09,76752.41
